OBJECTID,PERMITNUMBER,PROJECTID,NAME,CONTACT,PERMITGROUP,PERMITSTATUS,StatusDate,EXPDATE,Latitude,Longitude,PDF_LINK
2695,3071-9050,SJ78-0002.05,Jay Village Phase I,Michael Sadler,Operational,Issued,1678884660000,1836604800000,44.93531,-72.50188,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3071-9050.pdf
2696,9556-9050,,"Corner of Gonyeau Road and Route 7, Milton",Michael Sadler,Operational,Issued,1680260040000,1837987200000,44.597278,-73.166023,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9556-9050.pdf
2697,7745-9050.4,,Forestdale Industrial Park - 9 Lot Subdivision,Michael Sadler,Operational,Issued,1679582040000,1837296000000,44.496985,-73.031938,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/7745-9050.4.pdf
2698,8121-9040.AR,,Town of Andover MRGP,Jim Ryan,Operational,Issued,1676640900000,1832371200000,43.277695,-72.699303,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8121-9040.AR.pdf
2699,8045-9040.AR,,Town of Troy MRGP,Jim Ryan,Operational,Issued,1676641620000,1832371200000,44.995193,-72.397928,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8045-9040.AR.pdf
2700,8075-9040.AR,,Town of Concord MRGP,Jim Ryan,Operational,Issued,1676641080000,1832371200000,44.428946,-71.888001,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8075-9040.AR.pdf
2701,8261-9040.AR,,Village of Ludlow MRGP,Jim Ryan,Operational,Issued,1676640300000,1832371200000,43.395711,-72.701187,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8261-9040.AR.pdf
2702,9557-9020,,Maple Street Apartments,Thomas Benoit,Construction,Issued,1678978980000,1836777600000,44.811753,-73.090358,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9557-9020.pdf
2703,9558-9050,,Brandon Mini Golf,Terry Purcell,Operational,Issued,1705934820000,1863648000000,43.833005,-73.104778,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9558-9050.pdf
2704,3736-9050,EJ04-0377,The Woolen Mill,Michael Sadler,Operational,Issued,1681743360000,1729036800000,44.489594,-73.187619,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3736-9050.pdf
2705,9559-9050,,TEC Subdivision,Michael Sadler,Operational,Issued,1681985460000,1839715200000,44.687159,-73.318239,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9559-9050.pdf
2706,3120-9050,EJ95-0087.07,"Thompson Drive f.k.a. Huber & Suhner, Inc. Corporate Offices",Ashley Carver,Operational,Issued,1687183080000,1734480000000,44.497866,-73.040835,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3120-9050.pdf
2707,9561-9020,,Courtland Construction Company Contractors Office and Yard,Taylor Flanagan,Construction,Issued,1677001740000,1834617600000,44.625707,-73.14527,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9561-9020.pdf
2708,8007-9040.AR,,Town of Enosburgh MRGP,Jim Ryan,Operational,Issued,1676999940000,1832371200000,44.906143,-72.805944,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8007-9040.AR.pdf
2709,8064-9040.AR,,Town of Franklin MRGP,Jim Ryan,Operational,Issued,1677844200000,1832371200000,44.981453,-72.915914,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8064-9040.AR.pdf
2710,8087-9040.AR,,City of Newport MRGP,Jim Ryan,Operational,Issued,1677000540000,1832371200000,44.935585,-72.210749,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8087-9040.AR.pdf
2711,5553-9050,RU96-0281,Golf Course Maintenance Facility,Terry Purcell,Operational,Issued,1763034000000,1920672000000,43.257782,-73.111225,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/5553-9050.pdf
2712,8223-9040.AR,,Village of North Bennington MRGP,Jim Ryan,Operational,Issued,1677001200000,1832371200000,42.877351,-73.197717,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8223-9040.AR.pdf
2713,8229-9040.AR,,Village of Barton MRGP,Jim Ryan,Operational,Issued,1677001500000,1832371200000,44.750345,-72.179992,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8229-9040.AR.pdf
2714,8019-9040.AR,,Town of Jamaica MRGP,Jim Ryan,Operational,Issued,1677000060000,1832371200000,43.099528,-72.77918,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8019-9040.AR.pdf
2715,8132-9040.AR,,Town of Middlebury MRGP,Jim Ryan,Operational,Issued,1677000840000,1832371200000,44.012363,-73.169168,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8132-9040.AR.pdf
2716,8113-9040.AR,,Town of Dummerston MRGP,Jim Ryan,Operational,Issued,1677000720000,1832371200000,42.936381,-72.571864,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8113-9040.AR.pdf
2717,8226-9040.AR,,Town of Stratton MRGP,Jim Ryan,Operational,Issued,1677001380000,1832371200000,43.04319,-72.908974,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8226-9040.AR.pdf
2718,8201-9040.AR,,Town of Westmore MRGP,Jim Ryan,Operational,Issued,1677001080000,1832371200000,44.771128,-72.054561,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8201-9040.AR.pdf
2719,8081-9040.AR,,Town of Cambridge MRGP,Jim Ryan,Operational,Issued,1678886640000,1832371200000,44.643643,-72.831295,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8081-9040.AR.pdf
2720,8056-9040.AR,,Town of Bridgewater MRGP,Jim Ryan,Operational,Issued,1677000180000,1832371200000,43.587805,-72.623985,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8056-9040.AR.pdf
2721,8248-9040.AR,,Town of Randolph MRGP,Jim Ryan,Operational,Issued,1677001620000,1832371200000,43.923676,-72.666629,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8248-9040.AR.pdf
2722,5521-9050,EJ07-0356,Warner Drive,Michael Sadler,Operational,Issued,1677074400000,1834704000000,44.81761,-73.076173,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/5521-9050.pdf
2723,8516-9050,,Braults Mobile Homes Inc,Ashley Carver,Operational,Issued,1682687340000,1729987200000,44.554213,-73.165291,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8516-9050.pdf
2724,4117-INDO.R2,EJ99-0130,Mapleville Depot,Michael Sadler,Operational,Issued,1679920260000,1837641600000,44.792556,-73.073139,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4117-INDO.R2.pdf
2725,3188-9050,RU96-0012,Agri-Mark Inc.,Michael Sadler,Operational,Issued,1681293720000,1728604800000,44.031583,-73.172605,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3188-9050.pdf
2726,3177-9050,SJ96-0285,Holbrook Bay Commons Condominiums,Michael Sadler,Operational,Issued,1683024840000,1840752000000,44.961442,-72.242724,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3177-9050.pdf
2727,4114-9050,EJ97-0108.15,Costco Wholesale,Terry Purcell,Operational,Issued,1718800560000,1876435200000,44.503889,-73.174415,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4114-9050.pdf
2728,9563-9050,,Little Pond,Terry Purcell,Operational,Issued,1760705100000,1918339200000,43.242339,-72.754895,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9563-9050.pdf
2729,3096-9050,RU97-0404,"Sunrise Village Community, Topridge, Lodges",Terry Purcell,Operational,Issued,1753784820000,1911427200000,43.59776,-72.78038,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3096-9050.pdf
2730,9043-9050,,102 State Park Rd,Michael Sadler,Operational,Issued,1681480440000,1728777600000,44.798,-71.854861,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/9043-9050.pdf
2731,3710-9050,EJ97-0017,Hunting Ridge,Ashley Carver,Operational,Issued,1688657700000,1736035200000,44.638883,-73.097027,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3710-9050.pdf
2732,8029-9040.AR,,Town of Maidstone MRGP,Jim Ryan,Operational,Issued,1677075300000,1832371200000,44.57753,-71.554648,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8029-9040.AR.pdf
2733,8095-9040.AR,,Town of Leicester MRGP,Jim Ryan,Operational,Issued,1677076440000,1832371200000,43.866729,-73.107891,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8095-9040.AR.pdf
2734,8090-9040.AR,,City of Vergennes MRGP,Jim Ryan,Operational,Issued,1677076260000,1832371200000,44.168678,-73.250987,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8090-9040.AR.pdf
2735,4112-INDS,RU01-0023,Ethan Allen Highway Storage,Aaron Ferraro,Operational,Issued,1679919720000,1837641600000,44.051396,-73.166864,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4112-INDS.pdf
2736,8028-9040.AR,,Town of Norwich MRGP,Jim Ryan,Operational,Issued,1677075120000,1832371200000,43.713902,-72.307922,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8028-9040.AR.pdf
2737,8125-9040.AR,,Town of Mendon MRGP,Jim Ryan,Operational,Issued,1677076560000,1832371200000,43.647438,-72.928387,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8125-9040.AR.pdf
2738,7974-9040.AR,,Town of Lowell MRGP,Jim Ryan,Operational,Issued,1677074880000,1832371200000,44.806247,-72.448179,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/7974-9040.AR.pdf
2739,8032-9040.AR,,Town of Underhill MRGP,Jim Ryan,Operational,Issued,1677075600000,1832371200000,44.507543,-72.898698,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8032-9040.AR.pdf
2740,5009-9050,RU98-0318,First Light Technologies,Terry Purcell,Operational,Issued,1682073060000,1839801600000,43.520047,-73.234331,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/5009-9050.pdf
2741,8131-9040.AR,,Town of Coventry MRGP,Jim Ryan,Operational,Issued,1677076740000,1832371200000,44.866705,-72.264473,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8131-9040.AR.pdf
2742,3854-9050,EJ96-0717,The Ledges at Petty Brook,Michael Sadler,Operational,Issued,1681477440000,1728777600000,44.602761,-73.157245,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/3854-9050.pdf
2743,8145-9040.AR,,Town of Burke MRGP,Jim Ryan,Operational,Issued,1677077280000,1832371200000,44.610225,-71.91691,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8145-9040.AR.pdf
2744,8051-9040.AR,,Town of Belvidere MRGP,Jim Ryan,Operational,Issued,1677075720000,1832371200000,44.74979,-72.692291,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8051-9040.AR.pdf
2745,7895-9050,,Parro Site Redevelopment,Drew Shatzer,Operational,Issued,1687522080000,1845244800000,44.348639,-72.773172,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/7895-9050.pdf
2746,8077-9040.AR,,Town of Stowe MRGP,Jim Ryan,Operational,Issued,1677075900000,1832371200000,44.465637,-72.68608,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8077-9040.AR.pdf
2747,8146-9040.AR,,Town of Panton MRGP,Jim Ryan,Operational,Issued,1677077460000,1832371200000,44.135184,-73.355264,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8146-9040.AR.pdf
2748,4169-9050,BR06-0013,Thatcher Brook Primary School Renovation,Drew Shatzer,Operational,Issued,1701169260000,1858896000000,44.339128,-72.753139,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/4169-9050.pdf
2749,8084-9040.AR,,Town of Huntington MRGP,Jim Ryan,Operational,Issued,1677076080000,1832371200000,44.295249,-72.966302,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/8084-9040.AR.pdf
2750,7996-9040.AR,,Town of Richmond MRGP,Jim Ryan,Operational,Issued,1678372440000,1832371200000,44.402622,-72.99527,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/7996-9040.AR.pdf
