ESITEID,PRIMARYADDRESS,TOWNNAME,PARCELNUM,UNITCOUNT,YEARBUILT,SITETYPE,GPSX,GPSY,ParcelCategory,SOURCEOFDATA
181697,919 BULL RUN RD,NORTHFIELD,14065000,1,1998,DEVELOPMENT SITE,-72.6754838877274,44.10530710651338,R2,Vermont Enhanced 911 Board
771165,524 YORK ST,POULTNEY,215103-100,1,2025,DEVELOPMENT SITE,-73.24160774628861,43.52315638684431,R1,Vermont Enhanced 911 Board
770189,81 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09600334321206,44.8724519360895,M,Vermont Enhanced 911 Board
770187,75 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09628798377535,44.872551876236464,M,Vermont Enhanced 911 Board
771210,1431 VT ROUTE 78,SHELDON,SHA-01237.,1,2025,DEVELOPMENT SITE,-72.96426357609201,44.91932589673468,R2,Vermont Enhanced 911 Board
770197,113 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09580603740409,44.87181835973469,M,Vermont Enhanced 911 Board
759236,576 SHELBURNE ST,SOUTH BURLINGTON,1540-00570.,1,2020,DEVELOPMENT SITE,-73.20857134411386,44.449344454459904,C,Vermont Enhanced 911 Board
770182,53 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09664431703553,44.872181093923004,M,Vermont Enhanced 911 Board
771246,3430 RESERVOIR RD,BERKSHIRE,036-3497.,1,2025,DEVELOPMENT SITE,-72.77151729366781,44.9656491888796,R2,Vermont Enhanced 911 Board
771203,280 BROWNS RD,GRANVILLE,11L0000080.101,1,2025,DEVELOPMENT SITE,-72.84561982753138,43.99262140550158,W,Vermont Enhanced 911 Board
771296,1863 HOWE POND RD,READSBORO,T04X330.,1,2025,DEVELOPMENT SITE,-72.98712141532017,42.79003017509316,M,Vermont Enhanced 911 Board
770186,71 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09636299693514,44.8725535155819,M,Vermont Enhanced 911 Board
770185,67 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09640862603574,44.87256668647854,M,Vermont Enhanced 911 Board
771290,1302 VT ROUTE 100,READSBORO,T01X915.,1,2025,DEVELOPMENT SITE,-72.99955165033786,42.824956793934156,W,Vermont Enhanced 911 Board
295025,667 WINDHAM SPGS,WINDHAM,40311,1,1998,DEVELOPMENT SITE,-72.73908284531035,43.20297620939671,R1,Vermont Enhanced 911 Board
771247,3204 RESERVOIR RD,BERKSHIRE,036-3497.,1,2025,DEVELOPMENT SITE,-72.77061102599991,44.96292321991027,R2,Vermont Enhanced 911 Board
771242,110 FOULSHAM HOLLOW RD,SOUTH BURLINGTON,0570-01200.,1,2025,DEVELOPMENT SITE,-73.17573925010063,44.437122593042176,R1,Vermont Enhanced 911 Board
771244,3560 RESERVOIR RD,BERKSHIRE,036-3497.,1,2025,DEVELOPMENT SITE,-72.7733671957399,44.96786416124058,R2,Vermont Enhanced 911 Board
770192,93 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09576870449088,44.87222420093565,M,Vermont Enhanced 911 Board
770181,49 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09664656748122,44.87212013387452,M,Vermont Enhanced 911 Board
771200,820 BARROWS RD,MARLBORO,415-000,1,2025,DEVELOPMENT SITE,-72.6854842562529,42.83511762823501,R2,Vermont Enhanced 911 Board
770178,25 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09665240830755,44.871807737170414,M,Vermont Enhanced 911 Board
771241,108 FOULSHAM HOLLOW RD,SOUTH BURLINGTON,0570-01200.,1,2025,DEVELOPMENT SITE,-73.17555412356471,44.437644834432476,R1,Vermont Enhanced 911 Board
770198,117 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09582713234386,44.871770667371244,M,Vermont Enhanced 911 Board
771262,15 COLONEL PAGE RD,ESSEX TOWN,2014036000,1,2025,DEVELOPMENT SITE,-73.07259021452144,44.534641518016656,R2,Vermont Enhanced 911 Board
770195,105 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.0957728728779,44.87205466430832,M,Vermont Enhanced 911 Board
771276,2161 HATHAWAY POINT RD,SAINT ALBANS TOWN,000VCESA00-37,1,2025,DEVELOPMENT SITE,-73.1749234231859,44.78697878654536,MHL,Vermont Enhanced 911 Board
771243,3596 RESERVOIR RD,BERKSHIRE,036-3497.,1,2025,DEVELOPMENT SITE,-72.77310227312013,44.9684023376795,R2,Vermont Enhanced 911 Board
771186,34 SWEET BEDROCK LN,GEORGIA,100970004,1,2025,DEVELOPMENT SITE,-73.12416333091855,44.69990471101911,R1,Vermont Enhanced 911 Board
78710,434 COVENTRY STATION RD,COVENTRY,0TH01005.A,1,1998,DEVELOPMENT SITE,-72.25229562207984,44.86598444899207,R1,Vermont Enhanced 911 Board
771171,108 BIMSON DR,BARNET,0022-01-19.,1,2025,DEVELOPMENT SITE,-72.05751422003641,44.29217626521583,R2,Vermont Enhanced 911 Board
771187,84 SWEET BEDROCK LN,GEORGIA,100970005,1,2025,DEVELOPMENT SITE,-73.12365860692535,44.699370901457634,M,Vermont Enhanced 911 Board
755224,28 LIBERTY LN,SOUTH BURLINGTON,0570-R1580.,1,2018,DEVELOPMENT SITE,-73.16025102076237,44.42230158141894,M,Vermont Enhanced 911 Board
771218,531 GIDEONS MILL RD,BRIGHTON,00TR11.03AL,1,2025,DEVELOPMENT SITE,-71.92180058297988,44.81370766994181,S2,Vermont Enhanced 911 Board
771281,27 STAGS LEAP LN,WILMINGTON,HAYSTACK.SKI,1,2025,DEVELOPMENT SITE,-72.889620881432,42.92012950472994,C,Vermont Enhanced 911 Board
770190,85 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09595219757757,44.87241592774902,M,Vermont Enhanced 911 Board
770188,77 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09606789731636,44.87248980197612,M,Vermont Enhanced 911 Board
770180,45 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09665428273856,44.87207439292092,M,Vermont Enhanced 911 Board
770177,21 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09665452521463,44.87172773085451,M,Vermont Enhanced 911 Board
771164,423 SCOTT RD,VERNON,030304.,1,2025,DEVELOPMENT SITE,-72.49240832109437,42.72927991969245,W,Vermont Enhanced 911 Board
770176,17 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09666477124864,44.87166102915698,M,Vermont Enhanced 911 Board
770268,111 CLIFS CT,WILLISTON,07105.069400,2,2024,DEVELOPMENT SITE,-73.12933733865655,44.45571804933881,C,Vermont Enhanced 911 Board
770196,109 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09579579036058,44.87188506225853,M,Vermont Enhanced 911 Board
771176,583 W BARNET RD,BARNET,0009-02-64.,1,2025,DEVELOPMENT SITE,-72.06773161559003,44.3001110902431,C,Vermont Enhanced 911 Board
770199,121 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09582677128633,44.87171923994063,M,Vermont Enhanced 911 Board
771174,3190 OLD SILO RD,BARNET,0005-02-03.,1,2025,DEVELOPMENT SITE,-72.02220389555428,44.36671634979575,W,Vermont Enhanced 911 Board
771264,150 E BEAR SWAMP RD,MIDDLESEX,00014-005.001,1,2025,DEVELOPMENT SITE,-72.61875589360807,44.354818296645995,M,Vermont Enhanced 911 Board
771167,556 US ROUTE 5 S,BARNET,0010-01-17.,1,2025,DEVELOPMENT SITE,-72.0367919657743,44.3112295193801,W,Vermont Enhanced 911 Board
771277,2159 HATHAWAY POINT RD,SAINT ALBANS TOWN,000VCESA00-37,1,2025,DEVELOPMENT SITE,-73.17488602842587,44.78730513413291,MHL,Vermont Enhanced 911 Board
771193,38 ZION HILL RD,TOPSHAM,A36023.03,1,2025,DEVELOPMENT SITE,-72.3021871953076,44.11866589542352,M,Vermont Enhanced 911 Board
771207,312 CARROLL HILL RD,FAIRFAX,CH0336,1,2025,DEVELOPMENT SITE,-73.01221980405194,44.75151890890395,R2,Vermont Enhanced 911 Board
771245,3432 RESERVOIR RD,BERKSHIRE,036-3497.,1,2025,DEVELOPMENT SITE,-72.77157965529655,44.96642900032553,R2,Vermont Enhanced 911 Board
770179,29 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09665017122306,44.871870601308636,M,Vermont Enhanced 911 Board
770191,89 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09587701009099,44.872389527816864,M,Vermont Enhanced 911 Board
771192,36 STRYKER RD,TOPSHAM,064052.00,1,2025,DEVELOPMENT SITE,-72.22652615890557,44.08138031945813,R2,Vermont Enhanced 911 Board
770184,63 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.09646758224993,44.87257028676929,M,Vermont Enhanced 911 Board
770194,101 REEVES DR,SWANTON,BA0003-0017,1,2024,DEVELOPMENT SITE,-73.0957626390742,44.87212327091342,M,Vermont Enhanced 911 Board
765411,700 CIDER MOUNTAIN RD,WARREN,012003-002,1,2022,DEVELOPMENT SITE,-72.79265832399345,44.1262000492044,M,Vermont Enhanced 911 Board
656033,25 ANGELA AVE,BARRE CITY,0940-0030-0000,1,2024,DEVELOPMENT SITE,-72.51765025478223,44.20294326478463,R1,Vermont Enhanced 911 Board
759332,350 STONEY CORNERS RD,EAST MONTPELIER,09-009.600,1,2020,DEVELOPMENT SITE,-72.48067523016545,44.267331963230994,M,Vermont Enhanced 911 Board
768871,465 HARVEY RD,BRISTOL,-90219,1,2024,DEVELOPMENT SITE,-73.08647572826818,44.09297132336511,R1,Vermont Enhanced 911 Board
771309,992 SKI TOW RD,WEST WINDSOR,03-086.,1,2025,DEVELOPMENT SITE,-72.4708268735628,43.45735719569085,R2,Vermont Enhanced 911 Board
764313,171 COOPERS WAY,WAITSFIELD,1060500,1,2022,DEVELOPMENT SITE,-72.81486088883936,44.16872309768806,R2,Vermont Enhanced 911 Board
655471,54 RUSSELL DR,BRISTOL,060124-1,1,2024,DEVELOPMENT SITE,-73.08904569778929,44.14269604645841,R2,Vermont Enhanced 911 Board
759148,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51239168405291,44.216023695880594,M,Vermont Enhanced 911 Board
1561,193 BUZZELL RD,WARREN,-480211,1,2022,DEVELOPMENT SITE,-72.8197840950752,44.0729246158725,M,Vermont Enhanced 911 Board
771299,3406 PINKHAM RD,BURKE,07010042.000,1,2025,DEVELOPMENT SITE,-71.91709910026316,44.607247029642636,R2,Vermont Enhanced 911 Board
207262,184 ROUTE 315,RUPERT,10164.,1,1998,DEVELOPMENT SITE,-73.22022992398374,43.261546498859225,R1,Vermont Enhanced 911 Board
765412,853 CIDER MOUNTAIN RD,WARREN,012003-004,1,2022,DEVELOPMENT SITE,-72.7903777984945,44.12631540761439,M,Vermont Enhanced 911 Board
759152,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51125928975203,44.21576664129127,M,Vermont Enhanced 911 Board
759155,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51167146401409,44.21557729266537,M,Vermont Enhanced 911 Board
759157,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51241645640084,44.21573794673514,M,Vermont Enhanced 911 Board
759153,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51102586087453,44.21572023003415,M,Vermont Enhanced 911 Board
767106,0 SOUTHVIEW RD,WARREN,028005-3,1,2023,DEVELOPMENT SITE,-72.83437195564565,44.05982048668109,M,Vermont Enhanced 911 Board
280121,108 CRESCENT ST,WEST RUTLAND,240280092.,1,1998,DEVELOPMENT SITE,-73.04907552302375,43.60191345292577,M,Vermont Enhanced 911 Board
768870,429 HARVEY RD,BRISTOL,-90219,1,2024,DEVELOPMENT SITE,-73.08634706750452,44.092489775443404,R1,Vermont Enhanced 911 Board
760997,80 CODY RD,LANDGROVE,04-00-36-2,1,2021,DEVELOPMENT SITE,-72.84046878668414,43.27181976776043,W,Vermont Enhanced 911 Board
760525,255 CERUTTI RD,PLAINFIELD,001-1066.,1,2021,DEVELOPMENT SITE,-72.43726815051912,44.25475010716704,R2,Vermont Enhanced 911 Board
771310,1411 REDMOND RD,WILLISTON,04010.063000,1,2025,DEVELOPMENT SITE,-73.07925390955823,44.4790493883057,M,Vermont Enhanced 911 Board
764314,210 COOPERS WAY,WAITSFIELD,1060500,1,2022,DEVELOPMENT SITE,-72.81560915797745,44.16957702436633,R2,Vermont Enhanced 911 Board
759149,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51211355305477,44.21596657642133,M,Vermont Enhanced 911 Board
759158,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51277405436497,44.21582005919116,M,Vermont Enhanced 911 Board
759151,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51153245631173,44.215838050656544,M,Vermont Enhanced 911 Board
656288,1786 KATE BROOK RD,WOODBURY,01-01-,1,2024,DEVELOPMENT SITE,-72.42599952854727,44.50064635013446,R2,Vermont Enhanced 911 Board
767502,4475 VT ROUTE 100,WARREN,100006-102,1,2023,DEVELOPMENT SITE,-72.86079530299888,44.085996714031644,R2,Vermont Enhanced 911 Board
767042,512 FULLER HILL RD,WARREN,-4005,1,2023,DEVELOPMENT SITE,-72.85237295173975,44.10682352436835,R1,Vermont Enhanced 911 Board
760660,655 CIDER MOUNTAIN RD,WARREN,012002-6,1,2021,DEVELOPMENT SITE,-72.792516901251,44.129361557301166,C,Vermont Enhanced 911 Board
766657,1668 ENNIS HILL RD,MARSHFIELD,EN030.,1,2023,DEVELOPMENT SITE,-72.38081047535971,44.37460075055535,S2,Vermont Enhanced 911 Board
759150,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51178575291998,44.21588445882959,M,Vermont Enhanced 911 Board
759146,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51288834947204,44.21612722423848,M,Vermont Enhanced 911 Board
767043,514 FULLER HILL RD,WARREN,-4005,1,2023,DEVELOPMENT SITE,-72.85245482847871,44.10614222858721,R1,Vermont Enhanced 911 Board
767105,0 SOUTHVIEW RD,WARREN,028005-03,1,2023,DEVELOPMENT SITE,-72.8350215018919,44.060083501817516,R1,Vermont Enhanced 911 Board
656392,67 FALLS MOBILE HOMES,NORTHFIELD,16116000,1,2025,DEVELOPMENT SITE,-72.65187536778579,44.16823714635155,C,Vermont Enhanced 911 Board
766528,4669 E WARREN RD,WARREN,-2003,1,2023,DEVELOPMENT SITE,-72.81017983822368,44.12588096374941,R1,Vermont Enhanced 911 Board
767430,199 TAC HEIGHTS RD,MORETOWN,08-036.000,1,2023,DEVELOPMENT SITE,-72.73696085994497,44.286923852320214,R1,Vermont Enhanced 911 Board
656391,45 FALLS MOBILE HOMES,NORTHFIELD,16116000,1,2025,DEVELOPMENT SITE,-72.65204099519168,44.168320270200816,C,Vermont Enhanced 911 Board
767213,21 CASSIDY FARM RD,WARREN,028002-5,1,2023,DEVELOPMENT SITE,-72.83423314809646,44.084373117964425,M,Vermont Enhanced 911 Board
759147,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51265988413857,44.21608438781865,M,Vermont Enhanced 911 Board
180175,155 FALLS MOBILE HOMES,NORTHFIELD,16116000,1,1998,DEVELOPMENT SITE,-72.65202163078412,44.16693966733555,C,Vermont Enhanced 911 Board
767214,91 CASSIDY FARM RD,WARREN,028002-5,1,2023,DEVELOPMENT SITE,-72.83373272186468,44.085149210523134,M,Vermont Enhanced 911 Board
759154,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51124433718687,44.21548446745134,M,Vermont Enhanced 911 Board
756762,123 BEAVER LN,WARREN,028003-7,1,2019,DEVELOPMENT SITE,-72.83086377768656,44.07457677628125,M,Vermont Enhanced 911 Board
655290,0 MAIN ST,WAITSFIELD,099029200.,1,2023,DEVELOPMENT SITE,-72.80030461159535,44.209651643563504,W,Vermont Enhanced 911 Board
759156,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51205885672101,44.21564868904706,M,Vermont Enhanced 911 Board
767388,456 E BEAR SWAMP RD,MIDDLESEX,00007-021.000,1,2023,DEVELOPMENT SITE,-72.63666002625276,44.36605152428735,R2,Vermont Enhanced 911 Board
759145,0 ISLA LN,BARRE TOWN,008/035.00,1,2020,DEVELOPMENT SITE,-72.51315158538517,44.216195059691984,M,Vermont Enhanced 911 Board
769994,0 US ROUTE 2 S,ALBURGH,RS760-,1,2024,DEVELOPMENT SITE,-73.27676627629263,44.89769675886207,R2,Vermont Enhanced 911 Board
761009,750 BEAVER MEADOW RD,ROXBURY,090010-022,1,2021,DEVELOPMENT SITE,-72.71108877271764,44.07750121693981,S2,Vermont Enhanced 911 Board
769996,0 US ROUTE 2 S,ALBURGH,RS760-,1,2024,DEVELOPMENT SITE,-73.27818903753689,44.8951418949181,R2,Vermont Enhanced 911 Board
315952,264 BROTHERS RD,HARTLAND,021031-000,1,1998,DEVELOPMENT SITE,-72.42511521940983,43.61132453518019,R2,Vermont Enhanced 911 Board
769998,0 US ROUTE 2 S,ALBURGH,RS760-,1,2024,DEVELOPMENT SITE,-73.27756202546561,44.896067714943186,R2,Vermont Enhanced 911 Board
769997,0 US ROUTE 2 S,ALBURGH,RS760-,1,2024,DEVELOPMENT SITE,-73.2780174927898,44.89556538595181,R2,Vermont Enhanced 911 Board
769992,0 US ROUTE 2 S,ALBURGH,RS760-,1,2024,DEVELOPMENT SITE,-73.27747554327466,44.89662171600886,R2,Vermont Enhanced 911 Board
769993,0 US ROUTE 2 S,ALBURGH,RS760-,1,2024,DEVELOPMENT SITE,-73.2772627238536,44.89710494100777,R2,Vermont Enhanced 911 Board
611144,1381 SUNSET LAKE RD,BRATTLEBORO,00050007.100,1,2016,DEVELOPMENT SITE,-72.65221116846406,42.89346571530858,M,Vermont Enhanced 911 Board
22604,499 KING RD,BERKSHIRE,029-0977.,1,1998,DEVELOPMENT SITE,-72.7503299281016,44.96762383369794,R2,Vermont Enhanced 911 Board
766865,259 MABEL WAY,SOUTH BURLINGTON,1260-0200F.001,1,2023,DEVELOPMENT SITE,-73.15443972742729,44.45535815768207,R1,Vermont Enhanced 911 Board
766651,442 BALTIMORE RD,WEATHERSFIELD,-110150,1,2023,DEVELOPMENT SITE,-72.53515785491274,43.35063853333804,M,Vermont Enhanced 911 Board
759537,414 MANELICKS DR,STOWE,10027-061,1,2021,DEVELOPMENT SITE,-72.65148349735806,44.45448606794298,M,Vermont Enhanced 911 Board
766832,28 MABEL WAY,SOUTH BURLINGTON,1260-00150.,1,2023,DEVELOPMENT SITE,-73.15576593886078,44.45281167879239,R1,Vermont Enhanced 911 Board
757521,100 BOSTON CT,ESSEX TOWN,2071003000.,1,2020,DEVELOPMENT SITE,-73.04846476124568,44.49363241032818,M,Vermont Enhanced 911 Board
655861,1121 S CRAFTSBURY RD,CRAFTSBURY,-1741,1,2024,DEVELOPMENT SITE,-72.35987149638574,44.6232453504287,R1,Vermont Enhanced 911 Board
766900,404 OLD FARM RD,SOUTH BURLINGTON,1260-0200F.001,1,2023,DEVELOPMENT SITE,-73.15540914100049,44.45546272578266,R1,Vermont Enhanced 911 Board
767410,147 GREYSTONE DR,ESSEX TOWN,2095001001,1,2023,DEVELOPMENT SITE,-73.1172610030498,44.512466250347686,M,Vermont Enhanced 911 Board
768001,220 OAKLEDGE WAY,MILTON,111086.001,1,2023,DEVELOPMENT SITE,-73.11973627171747,44.642302997710026,M,Vermont Enhanced 911 Board
755096,30 LAP RUN,UNDERHILL,MO145-,1,2018,DEVELOPMENT SITE,-72.86445385821884,44.54115916378686,R2,Vermont Enhanced 911 Board
766801,44 ACADIA LN,SAINT GEORGE,119100100,1,2023,DEVELOPMENT SITE,-73.12825292988938,44.38584751088109,M,Vermont Enhanced 911 Board
763859,3723 COLE HILL RD,MORRISTOWN,-15034,1,2022,DEVELOPMENT SITE,-72.67093307367794,44.51816254298775,R1,Vermont Enhanced 911 Board
766875,324 MABEL WAY,SOUTH BURLINGTON,1260-0200F.001,1,2023,DEVELOPMENT SITE,-73.15384903491436,44.4564211396798,R1,Vermont Enhanced 911 Board
768867,114 WHITETAIL DR,BRISTOL,-90219,1,2024,DEVELOPMENT SITE,-73.08439644738837,44.09311764966014,R1,Vermont Enhanced 911 Board
760930,269 BROOKLINE RD,ATHENS,5045,1,2021,DEVELOPMENT SITE,-72.58181085128705,43.09748026783881,R2,Vermont Enhanced 911 Board
655440,521 DAIRY HILL RD,ROYALTON,C--410~,1,2024,DEVELOPMENT SITE,-72.49569273128607,43.813891824715945,R2,Vermont Enhanced 911 Board
754901,0 HARBOR VIEW DR,SAINT ALBANS TOWN,HARBORVIEW-029,1,2018,DEVELOPMENT SITE,-73.08861825536142,44.78658989663741,M,Vermont Enhanced 911 Board
765959,2470 AMES HILL RD,MARLBORO,376-100,1,2023,DEVELOPMENT SITE,-72.71482380931339,42.860291250982144,W,Vermont Enhanced 911 Board
756882,120 SPLIT ROCK PL,WESTFORD,05SR002.,1,2019,DEVELOPMENT SITE,-73.01429496231863,44.60815358466993,R2,Vermont Enhanced 911 Board
32,38 APPLE TREE RD,FAIRFAX,AP0026,1,2016,DEVELOPMENT SITE,-73.01425390121753,44.70595097557101,R1,Vermont Enhanced 911 Board
656407,444 STERLING WOODS RD,STOWE,19067-060,1,2025,DEVELOPMENT SITE,-72.69914002262186,44.53722485644896,R2,Vermont Enhanced 911 Board
298545,303 VT ROUTE 30,WINHALL,00391.,1,1998,DEVELOPMENT SITE,-72.92006169639252,43.15588537607758,R1,Vermont Enhanced 911 Board
767470,0 DOVER HILL RD,DOVER,SN010-,1,2023,DEVELOPMENT SITE,-72.79023671043919,42.945635271087916,R2,Vermont Enhanced 911 Board
620112,6 ENCORE PL,DOVER,TR022-B,1,2019,DEVELOPMENT SITE,-72.88768057445819,42.95879092710306,M,Vermont Enhanced 911 Board
766812,164 OLD FARM RD,SOUTH BURLINGTON,1260-00100.,1,2023,DEVELOPMENT SITE,-73.15623906424948,44.4520172382874,R1,Vermont Enhanced 911 Board
764630,214 MAPLE ROW,SHEFFIELD,026-058-07-,1,2022,DEVELOPMENT SITE,-72.10119887077731,44.61651567372244,S2,Vermont Enhanced 911 Board
700111,128 UPPER DR,DANVILLE,TH014-014.000,1,2021,DEVELOPMENT SITE,-72.15024953543613,44.41268302246772,M,Vermont Enhanced 911 Board
762130,66 PLEASANT HTS,WEST RUTLAND,240040304.,1,2022,DEVELOPMENT SITE,-73.04206824438432,43.59965163347262,R1,Vermont Enhanced 911 Board
754880,0 HARBOR VIEW DR,SAINT ALBANS TOWN,HARBORVIEW-030B,1,2018,DEVELOPMENT SITE,-73.08877617511055,44.787509333617365,M,Vermont Enhanced 911 Board
754896,0 HARBOR VIEW DR,SAINT ALBANS TOWN,HARBORVIEW-029,1,2018,DEVELOPMENT SITE,-73.08887258564695,44.786283819699534,M,Vermont Enhanced 911 Board
753820,540 MAXFIELD RD,WATERVILLE,03-19.B,1,2018,DEVELOPMENT SITE,-72.74884196022236,44.738689047923295,W,Vermont Enhanced 911 Board
766616,0 BALSAM RIDGE RD,HARDWICK,06054.00040,1,2023,DEVELOPMENT SITE,-72.34290251858808,44.51774339460397,R2,Vermont Enhanced 911 Board
766959,98 OBRIEN FARM RD EXT,SOUTH BURLINGTON,1260-0200F.001,1,2023,DEVELOPMENT SITE,-73.15378037859537,44.45700907374452,R1,Vermont Enhanced 911 Board
752416,394 VALE DR,SOUTH BURLINGTON,1640-01340.,1,2017,DEVELOPMENT SITE,-73.18639317316776,44.43675794524732,M,Vermont Enhanced 911 Board
766844,25 MABEL WAY,SOUTH BURLINGTON,1260-00150.,1,2023,DEVELOPMENT SITE,-73.15565811355098,44.45320220659928,R1,Vermont Enhanced 911 Board
617837,200 MAJESTIC HTS,STOWE,26029-060,1,2018,DEVELOPMENT SITE,-72.75137070894198,44.494806562797294,M,Vermont Enhanced 911 Board
163807,515 MONTGOMERY HEIGHTS RD,MONTGOMERY,00020.022X.,1,1998,DEVELOPMENT SITE,-72.56295422804243,44.87242088549801,M,Vermont Enhanced 911 Board
768045,1654 HUDSON RD,CANAAN,R03010.,1,2023,DEVELOPMENT SITE,-71.56357902026294,44.94307669583862,R2,Vermont Enhanced 911 Board
759121,81 LONG DR,SOUTH BURLINGTON,0570-01227.,1,2020,DEVELOPMENT SITE,-73.16828013161916,44.43319433306586,C,Vermont Enhanced 911 Board
760362,3550 W BERKSHIRE RD,BERKSHIRE,108-3550.,1,2021,DEVELOPMENT SITE,-72.81051010071845,44.961121691975826,M,Vermont Enhanced 911 Board
455496,1179 BERGRUCKEN LN,STAMFORD,00ALP00411.000,1,2019,DEVELOPMENT SITE,-73.02077575256006,42.818314973231836,R1,Vermont Enhanced 911 Board
767409,201 GREYSTONE DR,ESSEX TOWN,2095001001,1,2023,DEVELOPMENT SITE,-73.11768234903182,44.51339683400412,M,Vermont Enhanced 911 Board
766816,19 DANIEL DR,SOUTH BURLINGTON,1260-00150.,1,2023,DEVELOPMENT SITE,-73.15593256656628,44.45247736514301,R1,Vermont Enhanced 911 Board
768336,395 BROADREACH LN,CHARLOTTE,00009-0125.,1,2023,DEVELOPMENT SITE,-73.26148455404478,44.32745062684273,M,Vermont Enhanced 911 Board
656379,2610 LOWER DOVER RD,MARLBORO,299-000,1,2025,DEVELOPMENT SITE,-72.76850444595009,42.91319769727877,W,Vermont Enhanced 911 Board
617942,181 SHAGBARK LN,SHELBURNE,430-0098,1,2018,DEVELOPMENT SITE,-73.22358440632055,44.39400166767601,C,Vermont Enhanced 911 Board
766860,218 MABEL WAY,SOUTH BURLINGTON,1260-0200F.001,1,2023,DEVELOPMENT SITE,-73.15378060747176,44.45475772237884,R1,Vermont Enhanced 911 Board
752414,410 VALE DR,SOUTH BURLINGTON,1640-01340.,1,2017,DEVELOPMENT SITE,-73.18662363654192,44.43683369674697,M,Vermont Enhanced 911 Board
767649,102 SKYLINE DR,WEST RUTLAND,280230131,1,2023,DEVELOPMENT SITE,-73.0413635880529,43.579127763978406,R1,Vermont Enhanced 911 Board
767950,21 UPPER CANYON DR,DOVER,OLO09-B,1,2023,DEVELOPMENT SITE,-72.8898593136115,42.97209826109524,O,Vermont Enhanced 911 Board
655483,0 BRIGHAM RD,SAINT ALBANS TOWN,000000TR00-817,1,2024,DEVELOPMENT SITE,-73.10795212807626,44.81812717576355,R2,Vermont Enhanced 911 Board
766840,65 MABEL WAY,SOUTH BURLINGTON,1260-00150.,1,2023,DEVELOPMENT SITE,-73.15494213279678,44.45309023531827,R1,Vermont Enhanced 911 Board
761834,278 BUZZELL RD,NEWPORT TOWN,0VT105070-E,1,2021,DEVELOPMENT SITE,-72.30722123919831,44.962033796025864,M,Vermont Enhanced 911 Board
655710,1834 ALDERBROOK RD,COVENTRY,0TH05003.A,1,2024,DEVELOPMENT SITE,-72.2548770894256,44.90759421283736,M,Vermont Enhanced 911 Board
