ESITEID,PRIMARYADDRESS,TOWNNAME,PARCELNUM,UNITCOUNT,YEARBUILT,SITETYPE,GPSX,GPSY,ParcelCategory,SOURCEOFDATA
323972,1195 SUNSET DR,MORGAN,050-0733.05,1,1998,DEVELOPMENT SITE,-72.0384250534207,44.904288398915384,M,Vermont Enhanced 911 Board
271859,242 MAIN ST,WARREN,004001-501,1,1998,DEVELOPMENT SITE,-72.85604095406362,44.11505508459923,R1,Vermont Enhanced 911 Board
246021,58 ELM ST,SAINT JOHNSBURY,242072.002,1,1998,DEVELOPMENT SITE,-72.00976212106089,44.421300524587664,M,Vermont Enhanced 911 Board
245824,85 ELY ST,SAINT JOHNSBURY,271008.,1,1998,DEVELOPMENT SITE,-72.0018310549875,44.42248153724394,C,Vermont Enhanced 911 Board
246374,81 MOUNTAIN AVE,SAINT JOHNSBURY,245030.,1,1998,DEVELOPMENT SITE,-72.00266858201331,44.41909159279409,M,Vermont Enhanced 911 Board
340870,785 BOWLSVILLE RD S,MOUNT HOLLY,05G8060.04,1,2010,DEVELOPMENT SITE,-72.85120353995474,43.435402823013376,M,Vermont Enhanced 911 Board
171617,143 NICHOLS RD,MOUNT HOLLY,10C5054.00,1,1998,DEVELOPMENT SITE,-72.82264709474443,43.42262268100697,M,Vermont Enhanced 911 Board
171869,817 BOWLSVILLE RD S,MOUNT HOLLY,05G8060.03,1,1998,DEVELOPMENT SITE,-72.85109410522861,43.43603875640126,M,Vermont Enhanced 911 Board
171298,20 BELMONT RD,MOUNT HOLLY,06F5130.00,1,1998,DEVELOPMENT SITE,-72.8268797054147,43.44719000987015,M,Vermont Enhanced 911 Board
327251,71 CASTLE HILL RD,WILMINGTON,02021056.000,1,1998,DEVELOPMENT SITE,-72.87973744787203,42.86672569807042,M,Vermont Enhanced 911 Board
340104,673 AGER RD,PITTSFORD,0036.,1,2010,DEVELOPMENT SITE,-72.9719111028691,43.710191485633295,M,Vermont Enhanced 911 Board
8317,435 N MAIN ST,BARRE CITY,1095-0435-0000,1,1998,DEVELOPMENT SITE,-72.5095082186808,44.204709354738746,C,Vermont Enhanced 911 Board
9019,240 N MAIN ST,BARRE CITY,1095-0240-0000,1,1998,DEVELOPMENT SITE,-72.50437304997904,44.19938139225521,C,Vermont Enhanced 911 Board
10352,15 AYERS ST,BARRE CITY,0095-0015-0000,1,1998,DEVELOPMENT SITE,-72.49734721349786,44.19065843066213,C,Vermont Enhanced 911 Board
238627,90 ALDIS ST,SAINT ALBANS CITY,22020090.,1,2003,DEVELOPMENT SITE,-73.0957043283636,44.81962694472678,C,Vermont Enhanced 911 Board
7967,17 FARWELL ST,BARRE CITY,0570-0017-0000,1,1998,DEVELOPMENT SITE,-72.50481414691671,44.207317352267275,R1,Vermont Enhanced 911 Board
8040,15 ELMWOOD AVE,BARRE CITY,0540-0015-0000,1,1998,DEVELOPMENT SITE,-72.50640593737863,44.20656781711658,M,Vermont Enhanced 911 Board
9996,71 BROOKLYN ST,BARRE CITY,0245-0071-0000,1,1998,DEVELOPMENT SITE,-72.50210135743441,44.19309617478526,R1,Vermont Enhanced 911 Board
10452,8 WALKER AVE,BARRE CITY,1494-0008-0000,1,1998,DEVELOPMENT SITE,-72.49931676900304,44.18862155388836,R1,Vermont Enhanced 911 Board
10491,95 BOYNTON ST,BARRE CITY,0220-0095-0000,1,1998,DEVELOPMENT SITE,-72.49544607291683,44.18768203423993,I,Vermont Enhanced 911 Board
342211,10 BLACKWELL ST,BARRE CITY,0190-0010-0000,1,2011,DEVELOPMENT SITE,-72.50960123125242,44.203062481814214,I,Vermont Enhanced 911 Board
9145,32 FOSTER ST,BARRE CITY,0615-0032-0000,1,1998,DEVELOPMENT SITE,-72.50984115991177,44.19880293443939,M,Vermont Enhanced 911 Board
10227,13 HILL ST,BARRE CITY,0790-0013-0000,1,1998,DEVELOPMENT SITE,-72.49796370020053,44.191684283845795,C,Vermont Enhanced 911 Board
16684,1004 CHAPEL RD,BENNINGTON,31500700-,1,1998,DEVELOPMENT SITE,-73.18068440626028,42.90392136067211,MHL,Vermont Enhanced 911 Board
21698,2940 STAGE RD,BENSON,000010-61,1,1998,DEVELOPMENT SITE,-73.30975338123314,43.71160390371052,M,Vermont Enhanced 911 Board
21784,75 SHADY LN,BENSON,000010-117.3,1,1998,DEVELOPMENT SITE,-73.30921103616787,43.701419903390835,R2,Vermont Enhanced 911 Board
21960,952 SUNSET LAKE RD,BENSON,000006-81,1,1998,DEVELOPMENT SITE,-73.26116105350063,43.742831540534915,M,Vermont Enhanced 911 Board
316812,869 PLEASANT ST,BRIGHTON,PLEAST.21L,1,1998,DEVELOPMENT SITE,-71.87432143522174,44.80053043666184,R1,Vermont Enhanced 911 Board
42719,314 MOONLIGHT DR,BURKE,11010010.003,1,2004,DEVELOPMENT SITE,-71.94188053629539,44.58257122055833,M,Vermont Enhanced 911 Board
332202,6084 CAMP BROOK RD,BETHEL,02-089.100,1,2008,DEVELOPMENT SITE,-72.7487062787201,43.85016333218768,R1,Vermont Enhanced 911 Board
58828,751 VT ROUTE 114,CANAAN,R18016.,1,1998,DEVELOPMENT SITE,-71.55603816574528,45.00657215431533,C,Vermont Enhanced 911 Board
72346,995 COLCHESTER POINT RD,COLCHESTER,33-042002-0000000,1,1998,DEVELOPMENT SITE,-73.2878683664079,44.54446578800167,R1,Vermont Enhanced 911 Board
71409,72 HAWTHORNE LN,COLCHESTER,46-027002-0370000,1,1998,DEVELOPMENT SITE,-73.27047977012793,44.548981340028604,MHU,Vermont Enhanced 911 Board
71663,1362 BAY RD,COLCHESTER,26-019003-0000000,1,1998,DEVELOPMENT SITE,-73.16546794417405,44.548196556086765,R1,Vermont Enhanced 911 Board
84235,2359 KIRBY HOLLOW RD,DORSET,000523.,1,1998,DEVELOPMENT SITE,-73.08856964165616,43.28539276140398,M,Vermont Enhanced 911 Board
338231,295 WHISPERING PINES RD,DERBY,TRD26008D2-T,1,2009,DEVELOPMENT SITE,-72.18548164425661,44.9784050469266,R2,Vermont Enhanced 911 Board
85630,265 RAPTOR LN,DORSET,000803.,1,2005,DEVELOPMENT SITE,-73.07663371872172,43.23529667270921,M,Vermont Enhanced 911 Board
118672,675 MORIN LN,HARDWICK,05012.00000,1,1998,DEVELOPMENT SITE,-72.36000060976745,44.54976272592278,R2,Vermont Enhanced 911 Board
307002,307 BIRCH VIEW DR,DERBY,TRD03005E5-T8,1,1998,DEVELOPMENT SITE,-72.13166298723347,44.968701264751694,R2,Vermont Enhanced 911 Board
119416,71 WOLCOTT ST,HARDWICK,23051.00020,1,1998,DEVELOPMENT SITE,-72.36889648526349,44.50473785349684,C,Vermont Enhanced 911 Board
58846,5506 VT ROUTE 114,CANAAN,R22009.,1,1998,DEVELOPMENT SITE,-71.64741592501666,45.0077214640381,M,Vermont Enhanced 911 Board
220011,4354 VT ROUTE 122,SHEFFIELD,122-032-03-,1,1998,DEVELOPMENT SITE,-72.12401926667526,44.61855454610738,M,Vermont Enhanced 911 Board
219142,87 ALDRICH FARM RD,SHARON,R02380.R2,1,1998,DEVELOPMENT SITE,-72.40502604895411,43.81896039389238,M,Vermont Enhanced 911 Board
171679,117 STAR LAKE DR,MOUNT HOLLY,10E6147.00,1,1998,DEVELOPMENT SITE,-72.81536069908225,43.41675799052566,R1,Vermont Enhanced 911 Board
1970,253 WEST SHORE RD,ALBURGH,WS027-,1,1998,DEVELOPMENT SITE,-73.30469591976464,44.96265894217454,R1,Vermont Enhanced 911 Board
448288,2682 BROOK RD,BURKE,04010002.000,1,2013,DEVELOPMENT SITE,-71.93518889222844,44.657671348247796,M,Vermont Enhanced 911 Board
341052,136 OLD QUARRY RD,FAYSTON,07-033-001,1,2010,DEVELOPMENT SITE,-72.86535068376921,44.167383578132984,M,Vermont Enhanced 911 Board
445176,135 ROBBINS ST,RUTLAND CITY,13192-,1,2012,DEVELOPMENT SITE,-72.98657186910471,43.6104020152904,M,Vermont Enhanced 911 Board
764501,369 HALL STREAM RD,CANAAN,U05064.,1,2022,DEVELOPMENT SITE,-71.50030220127995,45.012581033901874,M,Vermont Enhanced 911 Board
764514,37 POLLARD HL,CANAAN,R03031.A,1,2022,DEVELOPMENT SITE,-71.59677560174117,44.95536119988,M,Vermont Enhanced 911 Board
764497,72 RIVER RD,CANAAN,U05045.,1,2022,DEVELOPMENT SITE,-71.50637323508501,45.008365889130594,M,Vermont Enhanced 911 Board
448145,225 JAY WOODS DR,JAY,17-2420048,1,2013,DEVELOPMENT SITE,-72.48069806248743,44.938812862068815,M,Vermont Enhanced 911 Board
449680,1319 GILBERT RD,WILLIAMSTOWN,009-051-00,1,2013,DEVELOPMENT SITE,-72.52200038207687,44.10702986036168,M,Vermont Enhanced 911 Board
448144,224 JAY WOODS DR,JAY,17-2420068,1,2013,DEVELOPMENT SITE,-72.48090391747641,44.93973788564976,M,Vermont Enhanced 911 Board
451526,74 UPPER DEPOT RD,MARSHFIELD,UD004.,1,2014,DEVELOPMENT SITE,-72.3557485722609,44.34603751258823,M,Vermont Enhanced 911 Board
450609,364 WINDY WOOD RD,BARRE TOWN,009/130.01,1,2014,DEVELOPMENT SITE,-72.4664912531386,44.21405792308438,M,Vermont Enhanced 911 Board
451448,2296 SHELDON RD,SWANTON,SL2296-0014,1,2014,DEVELOPMENT SITE,-73.01886419766583,44.88388810116928,R2,Vermont Enhanced 911 Board
451017,600 CENTRAL ST,SHELDON,CEN-00404.,1,2014,DEVELOPMENT SITE,-72.93683851365104,44.876056599707326,F,Vermont Enhanced 911 Board
452332,204 TABOR RD,SWANTON,TR0174-0007,1,2014,DEVELOPMENT SITE,-73.207939153712,44.94569357890049,MHL,Vermont Enhanced 911 Board
452330,168 TABOR RD,SWANTON,TR0168-0007,1,2014,DEVELOPMENT SITE,-73.20770179814377,44.947522405005756,M,Vermont Enhanced 911 Board
453622,460 CHENEY RD,WASHINGTON,004007.000,1,2014,DEVELOPMENT SITE,-72.43743907854974,44.09549659174308,M,Vermont Enhanced 911 Board
452742,167 LAKEWOOD DR,SWANTON,LD0172-0003,1,2014,DEVELOPMENT SITE,-73.22077003040273,44.952979377013286,R2,Vermont Enhanced 911 Board
454264,2290 SHELDON RD,SWANTON,SL2296-0014,1,2015,DEVELOPMENT SITE,-73.01651463454458,44.88330232474825,M,Vermont Enhanced 911 Board
452331,186 TABOR RD,SWANTON,TR0174-0007,1,2014,DEVELOPMENT SITE,-73.20783546935047,44.946122787061135,M,Vermont Enhanced 911 Board
452101,6 DONALDSON RD,SWANTON,DR0006-0013,1,2014,DEVELOPMENT SITE,-73.0803267898373,44.89742712434984,M,Vermont Enhanced 911 Board
