ESITEID,TOWNNAME,COUNTY,RPC,SITETYPE,Sitetype_General,UNITCOUNT,YEARBUILT,AFFORDABLE,GPSX,GPSY,PRIMARYADDRESS,ZIP,SOURCEOFDATA,CHANGE
772135,WATERFORD,CALEDONIA,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-71.97995863946761,44.39828047670821,2256 DANIELS FARM RD,05819,Vermont Enhanced 911 Board,
772083,FRANKLIN,FRANKLIN,Northwest RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.8531757982692,44.9411453755789,454 STANLEY RD,05450,Vermont Enhanced 911 Board,
772107,FAIRFIELD,FRANKLIN,Northwest RPC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.03286529265279,44.768208950551106,141 KINLEE LN,05455,Vermont Enhanced 911 Board,
772071,DORSET,BENNINGTON,Bennington County RC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-73.04460717940533,43.23024427981952,0 MORSE HILL RD,05251,Vermont Enhanced 911 Board,
771994,ALBANY,ORLEANS,Northeastern Vermont Dev. Assoc.,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.31254435427303,44.73898929039015,2264 CREEK RD,05845,Vermont Enhanced 911 Board,
772260,WILLIAMSTOWN,ORANGE,Central Vermont RPC,CAMP,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.54805142874658,44.103873644624535,CABIN 1 VT ROUTE 14,05679,Vermont Enhanced 911 Board,
772148,ENOSBURGH,FRANKLIN,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.76642718586054,44.86644823142544,3499 TYLER BRANCH RD,05450,Vermont Enhanced 911 Board,
762316,BERLIN,WASHINGTON,Central Vermont RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,30,2022,UNKNOWN,-72.56618712072907,44.21464397287183,475 BERLIN MALL RD,05602,Vermont Enhanced 911 Board,
771989,SANDGATE,BENNINGTON,Bennington County RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.20670679002215,43.191640751089906,2615 RUPERT RD,05250,Vermont Enhanced 911 Board,
772047,GRAFTON,WINDHAM,Windham RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.61800183676768,43.195505216586064,1680 HOUGHTONVILLE RD,05146,Vermont Enhanced 911 Board,
772086,WEST WINDSOR,WINDSOR,Mount Ascutney RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.4736065604569,43.48126726508899,894 BROWNSVILLE HARTLAND RD,05089,Vermont Enhanced 911 Board,
772007,MORRISTOWN,LAMOILLE,Lamoille County PC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.62754169978417,44.50766166370722,99 FIRST LIGHT LN,05661,Vermont Enhanced 911 Board,EXCLUDE
771999,WOLCOTT,LAMOILLE,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.47659341541276,44.58258711866446,116 HEATH RD,05680,Vermont Enhanced 911 Board,
772163,BERKSHIRE,FRANKLIN,Northwest RPC,MOBILE HOME,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.788858233745,44.96601405600616,1902 MINERAL BROOK RD,05450,Vermont Enhanced 911 Board,
365687,JOHNSON,LAMOILLE,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.687932556295,44.673233940402696,250 WOODMANS LN,05656,Vermont Enhanced 911 Board,
772054,BRADFORD,ORANGE,Two Rivers-Ottauquechee RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.17328180518659,43.99709720342561,1288 KIDDER RD,05033,Vermont Enhanced 911 Board,
26172,BRADFORD,ORANGE,Two Rivers-Ottauquechee RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.17512287456452,44.01816473036827,752 KENYON RD,05033,Vermont Enhanced 911 Board,
772144,WOODSTOCK,WINDSOR,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.52945682488632,43.609080015112234,1104 CHURCH HILL RD,05091,Vermont Enhanced 911 Board,
15800,BELVIDERE,LAMOILLE,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2020,UNKNOWN,-72.67897979975537,44.758823486838956,2978 VT ROUTE 109,05442,Vermont Enhanced 911 Board,
646704,TOWNSHEND,WINDHAM,Windham RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.66314189838808,43.045756241664314,116 BELLSTROM LN,05353,Vermont Enhanced 911 Board,
772027,GRAFTON,WINDHAM,Windham RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.61614473925442,43.177525199411164,465 MIDDLETOWN RD,05146,Vermont Enhanced 911 Board,
772168,GRAFTON,WINDHAM,Windham RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.59564521714093,43.21343160459516,124 OTIS RD,05146,Vermont Enhanced 911 Board,
611664,STARKSBORO,ADDISON,Addison County RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2016,UNKNOWN,-72.96126083817667,44.208244639737536,164 STAVE BROOK DR,05487,Vermont Enhanced 911 Board,
646707,BARNARD,WINDSOR,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.67260184880456,43.768338973736526,0 OLD MOUNT HUNGER RD,05032,Vermont Enhanced 911 Board,
771683,WOODSTOCK,WINDSOR,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2025,UNKNOWN,-72.60479188521623,43.58688659748667,520 QUINN RD,05091,Vermont Enhanced 911 Board,
646640,MARSHFIELD,WASHINGTON,Central Vermont RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.3806942585233,44.29522857884709,1032 NASMITH BROOK RD,05667,Vermont Enhanced 911 Board,
