ProjectID,AppNum,AppType,Description,ProjectName,ProjectTown,District,Status,GisLatitude,GisLongitude,LINK
4390,2S0796,Major,MORE SAND FROM SAND PIT,"Weathersfield, Town of",Weathersfield,02,Permit,43.35185621,-72.40451889,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0796
4402,2S0803,Major,CONSTRUCT 40-UNIT MOTEL. 16 RESTUARANT SEAT & 20 CONFERENCE.  RENOVAT FOR RETL.,Cavendish Pointe Motel,Cavendish,02,Permit,43.38408002,-72.64752121,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0803
4429,2S0812,Major,SUBDIVIDE 131 ACRES INTO 50 LOTS,Juniper Heights Subdivision,Windsor,02,Permit,43.49999257,-72.3953513,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0812
4455,2S0825,Major,"7-LOT SUBDIVISION, 800+ OF ROAD","Barton, Clude / Barton construction",Weathersfield,02,Permit,43.37330652,-72.50473717,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0825
4463,2S0828,Major,22 LOT SUBDIVISION AND EXTENSION OF MUNICIPAL WATER & SEWER LINES,Cohen,Chester,02,Permit,43.28162976,-72.59990256,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0828
4466,2S0832,Minor,"BLDG FOR DESIGN, MFG & LANDSCAPING",Precision Valley Development / Vt Resear,Springfield,02,Permit,43.32878934,-72.53764644,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0832
4468,2S0833,Minor,SOLID WASTE MODIFICATIONS,"Springfield, Town of / solid waste",Springfield,02,Permit,43.2799657,-72.46901653,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0833
4471,2S0839,Major,SEWAGE TREATMENT PLANT UPGRADE.,"Ludlow, Village of",Ludlow,02,Permit,43.39221722,-72.67856649,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0839
4476,2S0847,Major,CREATE 6 LOT SUBDIVISION AND DEFFERAL LOT ON OPPOSITE SIDE OF ROUTE 11,Cersosimo Lumber / shady Grove / chester,Chester,02,Permit,43.26307379,-72.65200672,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0847
4479,2S0969,Major,12 LOT SUBDIVISION WITH 750+/- FT ROAD,Chminey Ridge Co.,Springfield,02,Permit,43.3003213,-72.51012027,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0969
4486,2S0970,Minor,"CONSTR BLDG 10' x 20', 12023 SF LOT",New England Telephone / Weathersfield,Weathersfield,02,Permit,43.40544701,-72.40789704,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0970
4492,2S0974,Minor,CREATE A ONE-LOT SUBDIVISION ON 10.4 ACRES WITH A THREE BEDROOM HOUSE,Chittenden Bank,Ludlow,02,Permit,43.34524332,-72.7007007,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0974
4496,2S0978,Minor,CONSTR A FOUNDATION AND RELATED UTILITY SERVICES FOR RECONSTR OF OLD BARN,Weathersfield Historical Society / Foste,Weathersfield,02,Permit,43.3617297,-72.46828365,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0978
4499,2S0980,Minor,CONSTR 4000 SF WAREHOUSE ADDITION,D&T Spinning / Dubin,Ludlow,02,Permit,43.39520381,-72.6911663,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0980
4500,2S0982,Major,RECREATIONAL CAMPGROUND  -- WITHDRAWN 6/94/ CHANGED & RESUBMITTED/ SAME#,Getaway Mountain / Fraczek,Weathersfield,02,Permit,43.38421802,-72.41582417,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=2S0982
